cust,brand,clout,vuln
heavy,carte,-0.147469061308884,-0.856714107293409
heavy,douwe,0.235266288757368,0.868108625808258
heavy,kenco,1.09659012495578,1.32325133660513
heavy,nescafe,-0.525486795396123,-0.219933017082979
heavy,other,0.713260310537172,-0.732897467134424
heavy,supermarket,-0.145962277172165,0.844383219470567
light,carte,0.332254173860899,0.417348837541625
light,douwe,-0.992746247382637,-1.1401433144944
light,kenco,-1.87803738691806,0
light,nescafe,-0.827475281936493,0.430076996025779
light,other,0.217518089625498,-2.22586142788189
light,supermarket,0.847425833567404,0.217518089625498
