carte,douwe,kenco,nescafe,other,supermarket
0.725391032666679,0,0,0,0,0.417348837541625
0.332254173860899,0,-0.644922206418803,-0.827475281936493,0,0
0,0,0,0,0,0
0,0,0,-0.563719068670394,0,0.430076996025779
0,-0.992746247382637,-1.23311518049925,0,0,0
0,0,0,0,0.217518089625498,0
