douwe,kenco,nescafe,other,supermarket
-2.19987156539643,0,-1.20156272556535,0.908249623211781,3.98985161814643
0,-1.96562796775022,0,-2.43594203895155,0
0,0,-2.11457468691661,0,2.90517546717118
0,0,0,-0.77950710610885,0
0,-0.388249177402656,1.18728895619547,-0.729163975474267,-1.56233975847337
