house,avg_weekly_packs,avg_weekly_spend,avg_weekly_vol,shops,brands,max_spend,min_spend,prop_promo_price,prop_promo_units,avg_weekly_visits,cust_type
733520,1,2.25,0.0925,1,1,3,2,0.75,0,1,Light
733539,1,2.5,0.0499,1,1,2.5,2.5,0,0,1,Light
733548,1,3.985,0.2449,1,2,5,2.97,0.5,0,1,Heavy
733560,1,1.78384615384615,0.107776923076923,1,1,2.79,1.55,0,0,1,Light
733561,1,5.495,0.2499,2,1,6,4.99,1,0,1,Heavy
733565,1.16666666666667,4.38166666666667,0.23165,1,2,5,3,1,0,1,Heavy
733571,1,3.09666666666667,0.1001,2,2,3.59,2.7,0.333333333333333,0,1,Light
733573,1,2.9,0.1001,1,2,3.3,2.5,0.5,0,1,Light
733574,1.5,3.5,0.07485,1,2,2.5,2,0.333333333333333,0,1,Light
733578,2.85714285714286,8.42571428571429,0.286,3,1,3,2.49,0.5,0.4,1.14285714285714,Heavy
733606,2.25,7.25,0.37505,2,1,5,2,1,0,1,Heavy
733622,1,6.16666666666667,0.425066666666667,1,2,7,2,0.166666666666667,0,1,Heavy
733624,1.25,3.9675,0.24245,1,1,3.29,3,0.8,0,1,Heavy
733627,2,3.58,0.3998,1,1,1.79,1.79,0,0,1,Heavy
733629,1.125,3.44,0.0924,2,2,5,1.99,0.222222222222222,0,1,Light
733660,1,4.45,0.5001,1,1,4.45,4.45,0,0,1,Heavy
733662,2,16.3985714285714,0.728685714285714,2,2,11,3.8,0.714285714285714,0,1,Heavy
733663,1,2.33333333333333,0.1001,1,1,2.5,2,1,0,1,Light
733678,3,9.252,0.51986,1,1,3.5,2.97,1,0,1,Heavy
733680,1,3.125,0.0925,1,1,3.25,3,0.5,0,1,Light
733685,1,1.7,0.1001,1,1,1.75,1.55,0,0,1,Light
733687,2,9.56,0.3,1,1,4.78,4.78,0,0,1,Heavy
733693,1.28571428571429,5.63142857142857,0.357021428571429,2,2,5,2,0.944444444444444,0,1.07142857142857,Heavy
733701,1.07142857142857,4.60357142857143,0.271335714285714,2,2,7,2.5,0.866666666666667,0,1,Heavy
733717,1.5,3.705,0.29985,1,1,2.47,2.47,1,0,1,Heavy
733724,1,5,0.2999,1,1,5,5,1,0,1,Heavy
733744,1,5,0.275,1,1,5,5,1,0,1,Heavy
733756,2,6.50833333333333,0.32495,1,2,4.75,1.75,0.666666666666667,0,1.16666666666667,Heavy
733785,2,6,0.266733333333333,2,2,4,2.5,0.333333333333333,0.666666666666667,1,Heavy
733791,1,0.47,0.1001,1,1,0.47,0.47,0,0,1,Light
733798,2,4.98,0.3,1,1,2.49,2.49,0,0,1,Heavy
733799,1,3.65,0.1001,1,1,3.65,3.65,0,0,1,Light
733810,4.75,21.1125,1.424525,2,1,5,4,1,0,1,Heavy
733832,1,4.99,0.233233333333333,3,1,6,3.97,0.666666666666667,0,1,Heavy
733833,1,3.5,0.1001,1,1,3.5,3.5,0,0,1,Light
733859,1,3.745,0.1001,1,1,3.99,3.5,0,0,1,Light
733884,1,2.99666666666667,0.1001,2,2,4,1.99,0,0,1,Light
733888,1,2.9,0.2999,1,1,2.9,2.9,0,0,1,Heavy
733894,1.25,3.06,0.113725,1,1,3.24,2,0.8,0,1,Light
733915,1,3,0.095,1,1,3,3,1,0,1,Light
733918,1.33333333333333,3.61666666666667,0.233266666666667,3,5,5,1.59,0.666666666666667,0,1.22222222222222,Heavy
