cust,brand,clout,vuln
heavy,carte,-0.36463043581207,-0.276445670256902
heavy,douwe,-1.53617018907435,1.87231772531417
heavy,kenco,-1.86907453909337,2.66647248065278
heavy,nescafe,3.19754972403044,-1.18140966064287
heavy,other,0.51493639368668,1.18582652349924
heavy,supermarket,5.34355231129827,1.01940186646919
light,carte,1.72474597249802,1.11882089013443
light,douwe,-0.778966438140857,0.58069049523699
light,kenco,-2.10507656209819,0.888882528946684
light,nescafe,0.571456157189657,-0.333893254937627
light,other,0.880194645183911,-1.8152844206738
light,supermarket,1.11882089013443,0.971958426060292
