Carte Noire,Douwe Egbert,Kenco,Nescafe,Other brands,Supermarket own
0,23,58,41,12,25
23,0,124,112,32,47
58,124,0,197,31,141
41,112,197,0,31,189
12,32,31,31,0,29
25,47,141,189,29,0
