"","house","brand_clean","brand_count"
"206",20248,"Supermarket own",3
"207",20270,"Supermarket own",44
"208",20324,"Supermarket own",2
"209",20350,"Supermarket own",1
"210",20577,"Supermarket own",2
"211",20598,"Douwe Egbert",1
"212",20599,"Carte Noire",2
"213",20599,"Douwe Egbert",2
"214",20599,"Kenco",1
"215",20887,"Supermarket own",1
"216",21018,"Supermarket own",3
"217",21034,"Carte Noire",1
"218",21035,"Supermarket own",8
"219",21086,"Douwe Egbert",1
"220",21179,"Douwe Egbert",3
"221",21179,"Kenco",1
"222",21179,"Nescafe",3
"223",21179,"Supermarket own",1
"224",21306,"Supermarket own",4
"225",21440,"Nescafe",17
"226",21560,"Douwe Egbert",1
"227",21585,"Nescafe",4
"228",21796,"Supermarket own",8
"229",21877,"Nescafe",2
"230",21877,"Other brands",1
"231",21889,"Nescafe",1
"232",21893,"Carte Noire",7
"233",21893,"Douwe Egbert",9
"234",21893,"Other brands",5
"235",21961,"Other brands",1
"236",21961,"Supermarket own",22
"237",21986,"Carte Noire",2
"238",21986,"Douwe Egbert",4
"239",21986,"Kenco",3
"240",21986,"Nescafe",7
"241",21994,"Supermarket own",4
"242",22131,"Douwe Egbert",3
"243",22142,"Douwe Egbert",2
"244",22142,"Nescafe",21
"245",22145,"Douwe Egbert",1
"246",22145,"Nescafe",18
"247",22207,"Supermarket own",1
"248",22308,"Kenco",2
"249",22308,"Supermarket own",1
"250",22339,"Douwe Egbert",7
"251",22339,"Kenco",4
"252",22339,"Supermarket own",10
"253",22408,"Supermarket own",12
"254",22476,"Other brands",10
"255",22540,"Douwe Egbert",6
"256",22630,"Supermarket own",1
"257",22752,"Nescafe",4
"258",22879,"Carte Noire",1
"259",22879,"Nescafe",5
"260",22879,"Other brands",1
"261",22879,"Supermarket own",5
"262",22967,"Douwe Egbert",1
"263",22967,"Nescafe",34
"264",22988,"Carte Noire",5
"265",22988,"Douwe Egbert",3
"266",22988,"Kenco",6
"267",22988,"Nescafe",5
"268",22988,"Other brands",4
"269",22988,"Supermarket own",4
"270",23346,"Kenco",3
"271",23346,"Supermarket own",5
"272",23462,"Douwe Egbert",1
"273",23462,"Supermarket own",1
"274",23464,"Douwe Egbert",3
"275",23464,"Kenco",3
"276",23464,"Nescafe",1
"277",23484,"Nescafe",4
"278",23772,"Kenco",6
"279",23783,"Supermarket own",4
"280",23834,"Carte Noire",8
"281",23834,"Douwe Egbert",6
