"","house","shop_desc_clean","brand_count"
"231",22988,"sainsburys",8
"232",22988,"tesco",4
"233",23346,"tesco",8
"234",23462,"sainsburys",2
"235",23464,"asda",1
"236",23464,"tesco",6
"237",23484,"aldi & lidl",1
"238",23484,"asda",3
"239",23772,"asda",5
"240",23772,"tesco",1
"241",23783,"morrisons",4
"242",23834,"aldi & lidl",1
"243",23834,"sainsburys",17
"244",23834,"tesco",14
"245",23849,"asda",2
"246",23849,"morrisons",1
"247",23851,"asda",2
"248",23873,"asda",1
"249",23873,"morrisons",9
"250",23874,"sainsburys",3
"251",23876,"aldi & lidl",16
"252",24002,"asda",6
"253",24045,"aldi & lidl",1
"254",24045,"morrisons",6
"255",24060,"sainsburys",1
"256",24105,"morrisons",2
"257",24105,"sainsburys",1
"258",24105,"tesco",8
"259",24182,"morrisons",22
"260",24208,"morrisons",3
"261",24208,"sainsburys",1
"262",24388,"asda",2
"263",24389,"asda",3
"264",24389,"tesco",2
"265",24432,"asda",1
"266",24432,"sainsburys",2
"267",24456,"morrisons",3
"268",24456,"tesco",1
"269",24501,"asda",6
"270",24501,"tesco",2
"271",24511,"tesco",1
"272",24534,"asda",1
"273",24534,"sainsburys",1
"274",24534,"tesco",12
"275",24615,"morrisons",3
"276",24647,"tesco",13
"277",24714,"tesco",4
"278",24718,"sainsburys",1
"279",24778,"asda",2
"280",24806,"asda",2
"281",24806,"tesco",1
"282",24815,"sainsburys",18
"283",24838,"tesco",13
"284",24841,"asda",1
"285",24860,"aldi & lidl",1
"286",24860,"tesco",5
"287",25018,"aldi & lidl",1
"288",25018,"asda",2
"289",25075,"morrisons",1
"290",25172,"aldi & lidl",3
"291",25172,"tesco",1
"292",25234,"asda",15
"293",25237,"asda",45
"294",25237,"morrisons",22
"295",25239,"asda",6
"296",25239,"morrisons",1
"297",25239,"sainsburys",5
"298",25243,"aldi & lidl",2
"299",25243,"asda",2
"300",25243,"tesco",2
"301",25349,"asda",2
"302",25456,"tesco",2
"303",25509,"morrisons",1
"304",25619,"morrisons",1
"305",25697,"asda",51
"306",25697,"tesco",1
"307",25727,"asda",1
"308",25870,"morrisons",2
"309",25870,"tesco",4
"310",25878,"aldi & lidl",2
"311",25878,"morrisons",1
"312",25937,"tesco",14
"313",25964,"asda",1
"314",25979,"asda",2
"315",25982,"aldi & lidl",3
"316",25982,"asda",2
"317",26029,"morrisons",2
"318",26057,"morrisons",2
"319",26085,"sainsburys",1
"320",26143,"tesco",2
"321",26232,"tesco",1
"322",26451,"asda",2
"323",26537,"morrisons",1
"324",26598,"tesco",1
"325",26614,"asda",1
"326",26614,"sainsburys",1
"327",26636,"asda",11
"328",26647,"tesco",4
"329",26672,"morrisons",1
"330",26672,"tesco",7
"331",26673,"sainsburys",1
"332",26703,"sainsburys",5
"333",26721,"asda",6
"334",26721,"morrisons",34
